Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
The Crow,102,1994,7.6,7.1,176830,50693162
Dazed and Confused,102,1993,7.6,7.8,176619,7993039
"Girl, Interrupted",127,1999,7.3,5.1,175938,28871190
The Ninth Gate,133,1999,6.7,4.4,175848,18661336
Pi,84,1998,7.4,7.2,175493,3216970
Mad Max 2,96,1981,7.6,7.7,174981,12465371
Deep Impact,120,1998,6.2,4.0,173528,140464664
Point Break,122,1991,7.3,5.8,173169,43218387
The Abyss,140,1989,7.5,6.2,172613,54461047
The Fly,96,1986,7.6,7.9,172306,40456565
Ed Wood,127,1994,7.8,7.0,172164,5887457
Army of Darkness,81,1992,7.5,5.9,171157,11502976
Event Horizon,96,1997,6.7,3.5,171082,26673242
Lethal Weapon 2,114,1989,7.2,7.0,170585,147253986
Sleepless in Seattle,105,1993,6.8,7.2,170233,126533006
Scream 2,120,1997,6.2,6.3,169391,101363301
Demolition Man,115,1993,6.7,3.4,169027,58055768
In the Name of the Father,133,1993,8.1,8.4,168225,25010410
Three Kings,114,1999,7.1,8.2,167472,60652036
The Insider,157,1999,7.8,8.4,167433,28965197
Lethal Weapon 3,118,1992,6.7,4.0,164169,144731527
The Bone Collector,118,1999,6.7,4.5,163998,66518655
